Sample	iso_3p_sum	iso_5p_sum	iso_add3p_sum	iso_snv_sum	iso_snv_central_sum	iso_snv_central_offset_sum	iso_snv_central_supp_sum	iso_snv_seed_sum	isomiR_sum	ref_miRNA_sum	ref_miRNA_mean	iso_3p_count	iso_5p_count	iso_add3p_count	iso_snv_count	iso_snv_central_count	iso_snv_central_offset_count	iso_snv_central_supp_count	iso_snv_seed_count	isomiR_count	ref_miRNA_count	iso_3p_mean	iso_5p_mean	iso_add3p_mean	iso_snv_mean	iso_snv_central_mean	iso_snv_central_offset_mean	iso_snv_central_supp_mean	iso_snv_seed_mean	isomiR_mean	read_count	isomiR_perc
GEMTX6_1_seqcluster	33054.0	40930.0	4328.0	3400.0	3383.0	238.0	2012.0	3663.0	42935.0	99.0	16.5	2768.0	3070.0	515.0	773.0	300.0	60.0	275.0	508.0	3314.0	6.0	11.941473988439306	13.332247557003257	8.403883495145632	4.3984476067270375	11.276666666666667	3.966666666666667	7.316363636363636	7.210629921259843	12.955642727821363	43034.0	99.76994934238044
SIM1_1_seqcluster	33843.0	42441.0	4572.0	3030.0	1943.0	141.0	1889.0	3091.0	43568.0	29.0	3.2222222222222223	2900.0	3281.0	649.0	890.0	205.0	55.0	204.0	541.0	3491.0	9.0	11.67	12.935385553185004	7.044684129429892	3.404494382022472	9.478048780487805	2.5636363636363635	9.259803921568627	5.7134935304990755	12.480091664279575	43597.0	99.93348166158222
SIM2_1_seqcluster	48469.0	57772.0	4992.0	3318.0	1993.0	167.0	3629.0	4958.0	59318.0	40.0	5.714285714285714	3235.0	3654.0	739.0	872.0	285.0	63.0	284.0	614.0	3901.0	7.0	14.982689335394127	15.810618500273673	6.7550744248985115	3.805045871559633	6.992982456140351	2.6507936507936507	12.778169014084508	8.074918566775244	15.20584465521661	59358.0	99.93261228478049
SIM3_1_seqcluster	67467.0	81674.0	4514.0	5007.0	840.0	140.0	2449.0	4292.0	83175.0	20.0	10.0	3945.0	4494.0	931.0	1201.0	274.0	59.0	246.0	754.0	4753.0	2.0	17.10190114068441	18.17400979083222	4.848549946294307	4.169025811823481	3.065693430656934	2.3728813559322033	9.955284552845528	5.6923076923076925	17.499474016410687	83195.0	99.97596009375563
SIM4_1_seqcluster	56219.0	64848.0	3628.0	3145.0	663.0	126.0	2677.0	3646.0	65923.0	21.0	5.25	3173.0	3626.0	758.0	901.0	215.0	59.0	230.0	538.0	3841.0	4.0	17.71793255594075	17.884169884169886	4.786279683377309	3.490566037735849	3.083720930232558	2.135593220338983	11.639130434782608	6.776951672862453	17.162978391044	65944.0	99.96815479801043
SIM5_1_seqcluster	67077.0	79811.0	4144.0	4019.0	2365.0	150.0	1688.0	3512.0	81415.0	94.0	18.8	3707.0	4249.0	862.0	1151.0	278.0	65.0	271.0	706.0	4513.0	5.0	18.094685729700565	18.7834784655213	4.807424593967517	3.491746307558645	8.507194244604317	2.3076923076923075	6.228782287822878	4.974504249291785	18.04010635940616	81509.0	99.88467531192875
SIM6_1_seqcluster	48353.0	58751.0	3628.0	2691.0	1260.0	100.0	1481.0	2789.0	59791.0	37.0	7.4	3212.0	3758.0	886.0	918.0	253.0	49.0	217.0	588.0	4002.0	5.0	15.053860523038605	15.63358169238957	4.094808126410835	2.9313725490196076	4.980237154150197	2.0408163265306123	6.824884792626728	4.743197278911564	14.940279860069966	59828.0	99.9381560473357
VPA1_1_seqcluster	46430.0	56808.0	4002.0	3110.0	2616.0	142.0	1761.0	2885.0	58224.0	76.0	12.666666666666666	3133.0	3632.0	735.0	894.0	260.0	55.0	242.0	547.0	3846.0	6.0	14.819661666134696	15.640969162995594	5.444897959183673	3.4787472035794185	10.061538461538461	2.581818181818182	7.276859504132231	5.274223034734918	15.138845553822152	58300.0	99.8696397941681
VPA2_1_seqcluster	34778.0	40988.0	3356.0	2452.0	923.0	129.0	1867.0	3237.0	42072.0	26.0	5.2	2898.0	3270.0	613.0	834.0	214.0	48.0	215.0	529.0	3481.0	5.0	12.000690131124914	12.534556574923547	5.474714518760195	2.9400479616306954	4.313084112149533	2.6875	8.683720930232559	6.119092627599244	12.086182131571388	42098.0	99.93823934628723
VPA3_1_seqcluster	50143.0	59218.0	3388.0	2476.0	822.0	100.0	1788.0	3615.0	60137.0	16.0	16.0	2950.0	3418.0	698.0	794.0	215.0	52.0	222.0	510.0	3618.0	1.0	16.99762711864407	17.325336454066704	4.8538681948424065	3.118387909319899	3.8232558139534882	1.9230769230769231	8.054054054054054	7.088235294117647	16.621614151464897	60153.0	99.97340116037438
VPA4_1_seqcluster	40007.0	47052.0	2671.0	2683.0	887.0	134.0	2136.0	3837.0	47983.0	23.0	3.8333333333333335	2882.0	3279.0	614.0	830.0	202.0	43.0	205.0	548.0	3486.0	6.0	13.881679389312977	14.349496797804209	4.350162866449511	3.2325301204819277	4.391089108910891	3.116279069767442	10.419512195121952	7.001824817518248	13.764486517498566	48006.0	99.95208932216806
VPA5_1_seqcluster	34102.0	42827.0	3445.0	3465.0	2176.0	127.0	1453.0	2857.0	44129.0	75.0	18.75	2842.0	3284.0	687.0	867.0	218.0	50.0	206.0	539.0	3481.0	4.0	11.99929627023223	13.041108404384897	5.014556040756914	3.9965397923875434	9.98165137614679	2.54	7.053398058252427	5.300556586270872	12.6771042803792	44204.0	99.83033209664283
VPA6_1_seqcluster	50001.0	58148.0	3122.0	2328.0	1101.0	114.0	1420.0	5174.0	59004.0	46.0	15.333333333333334	3010.0	3438.0	701.0	850.0	240.0	55.0	221.0	526.0	3640.0	3.0	16.611627906976743	16.913321698662013	4.453637660485021	2.7388235294117647	4.5875	2.0727272727272728	6.425339366515837	9.836501901140684	16.20989010989011	59050.0	99.92209991532599
VPASM1_1_seqcluster	56778.0	64417.0	2665.0	2718.0	432.0	113.0	1188.0	2735.0	65554.0	7.0	3.5	3274.0	3682.0	648.0	949.0	230.0	61.0	199.0	506.0	3935.0	2.0	17.34208918753818	17.4951113525258	4.112654320987654	2.8640674394099053	1.8782608695652174	1.8524590163934427	5.969849246231155	5.405138339920948	16.65921219822109	65561.0	99.98932292063878
VPASM2_1_seqcluster	45340.0	54286.0	4371.0	3613.0	2711.0	247.0	2725.0	3773.0	55956.0	112.0	18.666666666666668	3601.0	3986.0	718.0	1074.0	332.0	65.0	327.0	725.0	4267.0	6.0	12.590946959178007	13.61916708479679	6.087743732590529	3.3640595903165735	8.16566265060241	3.8	8.333333333333334	5.204137931034483	13.11366299507851	56068.0	99.80024256260256
VPASM3_1_seqcluster	54236.0	62882.0	3058.0	3142.0	942.0	109.0	1702.0	3062.0	63943.0	17.0	4.25	3356.0	3774.0	678.0	1028.0	239.0	49.0	257.0	659.0	4011.0	4.0	16.160905840286055	16.661897191308956	4.510324483775811	3.056420233463035	3.9414225941422596	2.2244897959183674	6.622568093385214	4.646433990895296	15.94190974819247	63960.0	99.97342088805503
VPASM5_1_seqcluster	34087.0	40922.0	3715.0	2695.0	2948.0	268.0	2231.0	2988.0	42406.0	83.0	13.833333333333334	2567.0	2843.0	473.0	762.0	276.0	56.0	257.0	517.0	3063.0	6.0	13.278924814959096	14.393950052761168	7.854122621564482	3.536745406824147	10.681159420289855	4.785714285714286	8.680933852140077	5.779497098646035	13.844596800522364	42489.0	99.80465532255407
VPASM6_1_seqcluster	40720.0	49314.0	2904.0	2575.0	698.0	62.0	1979.0	3069.0	50159.0	6.0	3.0	2754.0	3223.0	736.0	783.0	207.0	39.0	180.0	523.0	3426.0	2.0	14.785766158315178	15.300651566863172	3.9456521739130435	3.288633461047254	3.3719806763285023	1.5897435897435896	10.994444444444444	5.868068833652008	14.640688849970811	50165.0	99.98803946974982
VSGTX1_1_seqcluster	47180.0	54187.0	4088.0	2882.0	422.0	84.0	3551.0	5480.0	55454.0	16.0	5.333333333333333	3127.0	3542.0	660.0	869.0	232.0	54.0	213.0	553.0	3760.0	3.0	15.087943716021746	15.298418972332016	6.193939393939394	3.3164556962025316	1.8189655172413792	1.5555555555555556	16.671361502347416	9.909584086799276	14.74840425531915	55470.0	99.97115557959258
VSGTX2_1_seqcluster	31310.0	36626.0	2165.0	1684.0	287.0	55.0	1807.0	2696.0	37269.0	7.0	2.3333333333333335	2413.0	2797.0	553.0	652.0	172.0	40.0	175.0	391.0	2961.0	3.0	12.975549108992954	13.09474436896675	3.91500904159132	2.5828220858895707	1.6686046511627908	1.375	10.325714285714286	6.8951406649616365	12.586626139817628	37276.0	99.98122116106879
VSGTX3_1_seqcluster	48304.0	58414.0	3088.0	2220.0	907.0	92.0	1392.0	3065.0	59150.0	8.0	2.6666666666666665	2911.0	3451.0	801.0	738.0	225.0	42.0	199.0	504.0	3634.0	3.0	16.593610443146684	16.92668791654593	3.8551810237203497	3.008130081300813	4.0311111111111115	2.1904761904761907	6.994974874371859	6.0813492063492065	16.27682993946065	59158.0	99.98647689238987
VSGTX4_1_seqcluster	50941.0	57547.0	4515.0	3330.0	462.0	87.0	3528.0	4522.0	59068.0	22.0	5.5	3132.0	3540.0	673.0	916.0	222.0	43.0	201.0	555.0	3770.0	4.0	16.264687100893997	16.256214689265537	6.708766716196137	3.6353711790393013	2.081081081081081	2.0232558139534884	17.55223880597015	8.147747747747747	15.66790450928382	59090.0	99.96276865797935
VSGTX5_1_seqcluster	45864.0	53229.0	3134.0	2428.0	452.0	108.0	2369.0	4558.0	54102.0	40.0	8.0	3083.0	3504.0	688.0	815.0	245.0	60.0	221.0	585.0	3704.0	5.0	14.876419072332144	15.190924657534246	4.555232558139535	2.9791411042944786	1.8448979591836734	1.8	10.71945701357466	7.791452991452991	14.606371490280777	54142.0	99.92612020243065
VSGTX6_1_seqcluster	60476.0	70107.0	3022.0	2229.0	400.0	91.0	1613.0	5207.0	70788.0	52.0	13.0	3099.0	3662.0	811.0	785.0	221.0	62.0	207.0	531.0	3859.0	4.0	19.514682155534043	19.14445658110322	3.7262638717632552	2.8394904458598726	1.8099547511312217	1.467741935483871	7.792270531400966	9.8060263653484	18.34361233480176	70840.0	99.92659514398645
