Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mirtop_mqc-generalstats-mirtop-ref_miRNA_sum	mirtop_mqc-generalstats-mirtop-isomiR_perc	mirtop_mqc-generalstats-mirtop-isomiR_sum	mirtop_mqc-generalstats-mirtop-read_count
VPA5_1_mature_hairpin						0.06159907	0.0	31071.0	0.4585064974639814	0.0	0.0	6776567.0				
VPA5_1_seqcluster													75.0	99.83033209664283	44129.0	44204.0
VPA6_1	93.3615647099129	53.0	101.0	45.45454545454545	25349317.0											
VPA6_1_mature						0.01288926	0.0	51659.0	0.5809190596305953	0.0	0.0	8892633.0				
VPA6_1_mature_hairpin						0.04677193	0.0	29120.0	0.3292226106742518	0.0	0.0	8845079.0				
VPA6_1_seqcluster													46.0	99.92209991532599	59004.0	59050.0
VPASM1_1	94.00385687198272	51.0	101.0	45.45454545454545	22660179.0											
VPASM1_1_mature						0.005006402	0.0	60330.0	0.736764975270196	0.0	0.0	8188500.0				
VPASM1_1_mature_hairpin						0.04061471	0.0	27344.0	0.33626892265925457	0.0	0.0	8131587.0				
VPASM1_1_seqcluster													7.0	99.98932292063878	65554.0	65561.0
VPASM2_1	92.99422036607247	56.0	101.0	45.45454545454545	31259575.0											
VPASM2_1_mature						0.01209456	0.0	52308.0	0.5834074842743867	0.0	0.0	8965946.0				
VPASM2_1_mature_hairpin						0.06164338	0.0	43976.0	0.4930661175696289	0.0	0.0	8918885.0				
VPASM2_1_seqcluster													112.0	99.80024256260256	55956.0	56068.0
VPASM3_1	92.87406959212974	53.0	101.0	45.45454545454545	22592513.0											
VPASM3_1_mature						0.006621773	0.0	55098.0	1.0211078625564873	0.0	0.0	5395904.0				
VPASM3_1_mature_hairpin						0.05028125	0.0	29555.0	0.552973681221852	0.0	0.0	5344739.0				
VPASM3_1_seqcluster													17.0	99.97342088805503	63943.0	63960.0
VPASM5_1	93.59522541137903	55.0	101.0	27.27272727272727	26127611.0											
VPASM5_1_mature						0.02062914	0.0	28929.0	0.3153256850313985	0.0	0.0	9174324.0				
VPASM5_1_mature_hairpin						0.06449158	0.0	42270.0	0.46194393921792576	0.0	0.0	9150461.0				
VPASM5_1_seqcluster													83.0	99.80465532255407	42406.0	42489.0
VPASM6_1	94.16235335818995	52.0	101.0	45.45454545454545	22023420.0											
VPASM6_1_mature						0.005623307	0.0	53865.0	0.984858790282946	0.0	0.0	5469312.0				
VPASM6_1_mature_hairpin						0.05938062	0.0	21644.0	0.39941530795521835	0.0	0.0	5418921.0				
VPASM6_1_seqcluster													6.0	99.98803946974982	50159.0	50165.0
VSGTX1_1	91.83128319830129	54.0	101.0	45.45454545454545	24519890.0											
VSGTX1_1_mature						0.009711748	0.0	48760.0	0.5733653677910711	0.0	0.0	8504176.0				
VSGTX1_1_mature_hairpin						0.05781785	0.0	35730.0	0.4223655378091629	0.0	0.0	8459497.0				
VSGTX1_1_seqcluster													16.0	99.97115557959258	55454.0	55470.0
VSGTX2_1	94.44113040191239	52.0	101.0	45.45454545454545	22928235.0											
VSGTX2_1_mature						0.007159027	0.0	35294.0	0.3496411012456373	0.0	0.0	10094351.0				
VSGTX2_1_mature_hairpin						0.05719101	0.0	18724.0	0.1861023008044919	0.0	0.0	10061133.0				
VSGTX2_1_seqcluster													7.0	99.98122116106879	37269.0	37276.0
VSGTX3_1	93.965516712058	52.0	101.0	45.45454545454545	22794261.0											
VSGTX3_1_mature						0.006178746	0.0	66880.0	1.0919377993828787	0.0	0.0	6124891.0				
VSGTX3_1_mature_hairpin						0.05456534	0.0	21434.0	0.35362301911963145	0.0	0.0	6061257.0				
VSGTX3_1_seqcluster													8.0	99.98647689238987	59150.0	59158.0
VSGTX4_1	92.61817377847586	52.0	101.0	45.45454545454545	24068745.0											
VSGTX4_1_mature						0.007762901	0.0	50252.0	0.5520749667092819	0.0	0.0	9102387.0				
VSGTX4_1_mature_hairpin						0.06005344	0.0	30611.0	0.3380200007221753	0.0	0.0	9055973.0				
VSGTX4_1_seqcluster													22.0	99.96276865797935	59068.0	59090.0
VSGTX5_1	91.68090108888565	52.0	101.0	45.45454545454545	24101705.0											
VSGTX5_1_mature						0.007945396	0.0	52309.0	0.738529038328145	0.0	0.0	7082863.0				
VSGTX5_1_mature_hairpin						0.05333864	0.0	33427.0	0.47519117392847077	0.0	0.0	7034432.0				
VSGTX5_1_seqcluster													40.0	99.92612020243065	54102.0	54142.0
VSGTX6_1	93.88999851136283	50.0	101.0	45.45454545454545	26915024.0											
VSGTX6_1_mature						0.008736446	0.0	64741.0	0.7064516238151923	0.0	0.0	9164251.0				
VSGTX6_1_mature_hairpin						0.05122774	0.0	25673.0	0.28202124194584	0.0	0.0	9103215.0				
VSGTX6_1_seqcluster													52.0	99.92659514398645	70788.0	70840.0
